,Tweet,Username,Location,Created_at
93,"RT @TelkomJabar: Tatarucingan yu ah udah lama nggak 😆
Coba ada yang tau gak kira-kira hewan apa yang banyak maunya? Tulis jawabannya di kol…",elizabethmf2202,"Bekasi, Jawa Barat",2022-01-26 21:49:06
94,"RT @MySumatera: Lets go do a #TweetAway✨

Letsgo ramein #Giveaway minggu ini! Tinggal reply jawabannya di tweet dan dapatkan total Rp 150K…",MiraIndah29,,2022-01-26 21:48:44
95,"RT @MySumatera: Selamat Hari Gizi Nasional Gengs!✨

Yuk mulai makan sehat dari sekarang biar bisa kayak kak Seto kemarin🔥

#HariGiziNasiona…",MiraIndah29,,2022-01-26 21:48:33
96,"RT @MySumatera: Sempat pakai wartel dulu pas nunggu jemputan pulang les sekolah... perkara belum dapat HP waktu SMP...

Kamu dulu udah pern…",MiraIndah29,,2022-01-26 21:48:29
97,Alhamdulillah subuh²gini udah masak nasi goreng keju..walaupun nggak tau resep nya langsung buka YouTube aja kan ud… https://t.co/qTplHX5ryh,Lina_Awaliyah,,2022-01-26 21:35:06
98,RT @smoothdaddy_: Disuru ke Plasa Telkom dikasih alamat eh malah gw diarahin ke klinik ini @IndiHomeCare @IndiHome @Telkomsel kalian perusa…,nike_elfianti,,2022-01-26 21:19:54
99,"Kalo pagi-pagi gini, keinget jaman SD dulu.
Sering dibawain bekal sama mama cuma gatau resepnya 😭 Untung ada IndiHo… https://t.co/4mFZzwzzzx",kinosukina,Jogja,2022-01-26 21:19:30
100,"RT @A_florencia_: Siang jarang chat, tapi pas malemnya tlfonan sampe tengah malem, pernah seasik itu ya kita dulu🥀🥺 Biarlah IndiHome menjad…",ecotraveller_id,"Purwokerto Barat, Indonesia",2022-01-26 21:15:30
101,Indihome kumat lagi penyakitnya,ZuraJuracchi,,2022-01-26 20:51:27
102,"@IndiHomeCare bro gw tinggal di kedoya selatan jakarta barat.
Tiap dini hari indihome knp ga ada jaringan sih?
Sign… https://t.co/PipfweCrTf",Fahmimushapa1,,2022-01-26 20:41:15
103,"@arafx_ Hai, Kak Ara, sama-sama ya Kak. Selamat menikmati layanan IndiHome. -Fanzila",IndiHomeCare,Indonesia,2022-01-26 20:31:01
104,"@pandji Bisa, ikut pesugihan
Eh tapi kalo pesugihan bisa numbalin pejabat atau anggota dpr ngga? 
Tolong anak indihome bantu jawab",Ekaa_RawK,"Cimahi Tengah, Indonesia",2022-01-26 20:18:33
105,"JARINGAN !
yey kalo sama indihome mah internetan jd seru👍 https://t.co/tZJrChRAGV",meisjethemissus,,2022-01-26 20:16:34
106,"@IndiHome @IndiHomeCare , Saya ex Pelanggan nomor 121423212244, sudah berhenti berlangganan sejak 21 Nov 2021. Fina… https://t.co/VbKKuYGRNR",Herrisoerya,Tangerang,2022-01-26 20:08:38
107,Hey(っ˘▽˘)っ indihome_mks  AyoBantu Retweet &amp; Cekidot TokoTamz pinBB:2BB19B17 Jual Sepatu Baju Aksesoris Cewek di Makassar,JualanBro,Gratis Ongkir Makassar,2022-01-26 20:02:01
108,"Mantap @IndiHome bayar 400rb sebulan internet super kencang dan ngebut bisa"" Sampe yutub aja baper dengan kekuatan… https://t.co/KoIFHfnLbg",myudiprtma,Jakarta Selatan,2022-01-26 19:50:10
109,indihome lemot bgt anjir,nocrturnal,,2022-01-26 19:40:25
110,"@IndiHomeCare @IndiHome tolong jaringannya di benerin, paketanku entekkk soalee marai mngkl",RidhoBlk,"Yogyakarta, Indonesia",2022-01-26 19:38:05
111,"Bingung mau makan siang pakai apa nanti. Search dulu ah di ojek online. Sekarang nggak perlu  bingung, jadi cepet d… https://t.co/2xyeOJH9ZB",AnindyaYs,"Jawa Tengah, Indonesia",2022-01-26 19:26:20
112,Alhamdulillah cuaca hari ini cerah walaupun ga cerah bgt siii. Tp ngga tau kalo nanti sore mendung. Tp yg penting s… https://t.co/vOjPU8PPaw,AnindyaYs,"Jawa Tengah, Indonesia",2022-01-26 19:22:24
113,HALO INDIHOME INI JAM 2 PAGI KENAPA MALAH NGELAG YA???????????? 🖕🏻😎🖕🏻 https://t.co/sxPVMW2102,manusya62,,2022-01-26 18:54:26
